Computer,CPU name,CPU MHz,GPU,CUDA,version,Time Spy,Night Raid,Fire Strike,Sky Diver,Cloud Gate,Ice Storm,TR,ROtTR,HZD,test date
Thinkpad T61,Core2Duo T7300,2000,Quadro NVS140M,16,1.1,,,,,,,,,,
EliteBook hp8460p,Core i5 2520M,2500,Intel HD3000,-,,,,,,2367,29797,,,,2023-10-03
Thinkpad X230,Core i5 3320M,2600,Intel HD4000,-,,,,,,,,,,,
Jetson Nano,Cortex A57,1400,Maxwell 921 MHz,128,5.3,,,,,,,,,,
hp al132TX,i3 7100U,2400,HD Graphics 620,-,,360,3867,868,3582,5138,43458,31.7,,,2023-10-08
hp al132TX,i3 7100U,2400,GeForce 940MX,384,5.0,588,5549,1525,5828,5956,48959,40.1,,,2023-10-03
MacBook Pro 15,i7-4960HQ,2600,GeForce GT750M,384,3.0,491,,1332,4516,,,,,,2020-03-13
zBook G3,i7-6820 HQ,2700,Quadro M1000M,512,5.0,1116,,3342,10869,,,26.3,26.43,,2020-03-08
Z600,Xeon X5550,2700,Nvidia GTX 650,384,3.0,75,,,7496,12942,81396,,,,2018-12-01
Z600,Xeon X5550,2700,Nvidia GTX 960,1024,5.2,2490,11850,6659,19545,,,42.4,35.35,,2020-03-13
Z600,Xeon X5550,2700,AMD RX470,-,,3763,,,24921,26926,96411,,,,2019-03-25
Xigmatek Gemini,i3 10100,3600,RTX 3070 Ti,6144,8.6,11287,34917,22256,37144,32055,149030,60,60,61.3,2023-10-10
