cpu,cpu_family,process,freq_MHz,BogoMIPS,tested,computer,comp_detail,L1 kB,L1MB/s,L2 kB,L2 MB/s,L3 kB,L3 MB/s,mem MB,mem MB/s,mem type,version
Intel i5 2520M ,Sandy Bridge,32 nm,3200,4989,2015/07/19,hp 8460p,Elitebook,32,83146,256,37794,3072,28345,4007,9377,DDR3-1330,
Intel i5 3320M ,Ivy Bridge,22 nm,3300,5188,2016/10/15,Lenovo X230,Thinkpad,32,86473,256,39306,3072,32027,16000,16955,DDR3-1600,
Intel i5 2500 ,Sandy Bridge,32 nm,3300,6585,2017/01/20,Optiplex 990,school,32,109754,256,49888,3072,37416,3977,7858,DDR3-1330,
Intel i7 4960HQ ,Crystal Well ,22 nm,2600,6585,2017/09/14,MacBook Pro 15 (2013),"rMBP11,3 ",32,259406,256,56392,6144,42525,16000,25431,unknown,5.01
Intel i7 4960HQ ,Crystal Well ,22 nm,2600,6585,2021/11/01,MacBook Pro 15 (2013),"rMBP11,3 ",64,173388,256,41499,6144,34699,16292,20292,DDR3L-1600,9.3
Intel N3060,Braswell,14 nm,1600,,2020/09/06,Synology Diskstation DS216+II,virtual machine,24,34788,1024,28575,0,0,2047,598,i440FX,5.01
Xeon X5550,Nehalem EP,45 nm,3670,,2020/01/05,HP Z600,Workstation 1,32,88668,256,37465,8192,28000,24000,10857,DDR3-1330,5.01
i5 7300U,Kaby Lake,14 nm,2600,,2021/10/31,Lenovo Yoga370,Sabattical 3,64,148813,256,67602,3072,41226,16000,11975,DDR4-2133,9.3
Intel G2030,Ivy Bridge,22 nm,3000,,2021/05/19,Gigabyte GA H61m DS2,mining RX470,64,85511,256,46485,3072,27023,4069,15442,,9.3
Intel i7 6820HQ ,Skylake,14 nm,2712,5424,2021/10/31,HP zBook 15 G3,CUDA test 2,64,204104,256,91544,8195,55500,24504,22057,DDR4-2133,9.3
i3 10100,Comet Lake,14 nm,3600,7200,2021/11/12,Xigmatec Gemini,standing desk,64,218962,256,95333,6144,48554,16000,21400,DDR4-2400,9.3
E6500,Wolfdale,45 nm,2930,,2022/04/26,testbench SSIS,heatpipe IA,32,41212,2048,19124,0,0,4061,3761,DDR3-798,
i3-7100U,Kaby Lake,14 nm,2400,,2023/10/03,hp pavillion,hp 14-al132TX,64,143080,256,62650,3072,36790,8000,11560,DDR4-2400,8.4
E5-2696v3,Haswell EP,22 nm,3600,4590,2024/01/02,VSP V300,Workstation 2,64,127899,256,36406,46080,16219,130918,10038,DDR3-1886,10.6
