Device,CPU,MHz,Memory Index,Integer Index,FP Index,INT,FLOAT,SuperPI 1M,Test Date,ISA,mem,int,float,INT_o,FLOAT_o,notes,,
Samsung Galaxy 3,[Eclair 2.1] S5P6422,667,0.541,0.959,0.126,3,0.2,-,2011-12-15,ARMv6,541,959,126,3000,200,,,
Vobis PC,Pentium II,233,1.238,1.33,2.409,5.1,4.3,8m16.4s,2012-08-01,IA-32,1238,1330,2409,5100,4300,,,
Huawei Ideos X3,[Ideos X3 - 2.3] ARMv6,600,1.04,1.685,0.228,5.5,0.4,-,2013-08-01,ARMv6,1040,1685,228,5500,400,,,
TL-WR1043ND,Atheros AR9132,400,1.379,1.712,0.035,6.3,0.1,-,2013-08-03,MIPS 24K,1379,1712,35,6300,60,,,
Samsung GT-i5800,[Froyo 2.2] ARMv6,667,1.024,1.821,0.238,5.7,0.4,-,2012-08-01,ARMv6,1024,1821,238,5700,400,,,
Raspberry Pi 1B,BCM2835,700,2.456,3.106,2.029,11.3,3.7,-,2014-08-10,ARMv6Z,2456,3106,2029,11300,3660,,,
Sony Tipo 4.0.4,MSM7225A Cortex-A5,800,2.748,3.282,3.711,12.8,6.7,-,2014-08-10,ARMv7-A,2748,3282,3711,12800,6690,,,
Thinkpad X30,Pentium III,933,4.709,5.164,8.916,19.9,16.1,4m01.7s,2014-08-10,IA-32,4709,5164,8916,19900,16100,,,
Huawei Y300 4.1.1,MSM8225 S4 Cortex-A5,1008,3.665,5.46,4.685,18.4,8.5,-,2014-08-10,ARMv7-A,3665,5460,4685,18400,8450,,,
Raspberry Pi 2,BCM2836,1000,4.665,6.481,5.059,22.6,9.1,-,2014-08-10,ARMv7-A,4665,6481,5059,22600,9100,,,
Umi Fair,MT6735,988,5.799,6.717,8.055,25.3,14.5,-,2015-08-01,ARMv8-A,5799,6717,8055,25300,14500,,,
Thinkpad X40,Pentium M,1200,6.21,7.047,12.384,26.4,22,1m14.4s,2014-06-07,IA-32,6210,7047,12384,26400,22000,,,
Samsung N150,Atom N450,1666,7.243,7.109,7.351,28.6,12.8,1m37.6s,2010-04-01,x86-64,7243,7109,7351,28600,12800,,,
Marc old PC,Pentium 4,2000,9.394,7.529,13.164,33.2,23.7,1m34.2s,2009-07-23,IA-32,9394,7529,13164,33200,23700,,,
Toshiba NB100,Atom N270,1600,7.752,7.579,7.068,30.6,12.8,1m37.6s,2009-08-01,IA-32,7752,7579,7068,30600,12800,,,
HP Mini 1100,Atom N455,1666,9.386,8.39,7.313,35.3,13.2,1m30.9s,2013-08-10,x86-64,9386,8390,7313,35300,13200,,,
Raspberry Pi 3,BCM2837 B0,1200,6.78,9.524,9.174,33,16.5,-,2024-01-07,ARMv8-A,6780,9524,9174,33000,16500,,,
Nexus 4,S4 Pro Krait APQ8064,1512,4.591,9.895,9.086,28.5,16.4,-,2015-01-27,ARMv7-A,4591,9895,9086,28500,16400,,,
Tanix TX3 mini,Amlogic S905W,1200,8.68,10.948,10.155,39.7,18.3,-,2024-01-28,ARMv8-A,8680,10948,10155,39718,18310,,,
Silentium II,Athlon64,1800,11.269,11.927,20.517,46.6,37,49.100s,2011-05-09,x86-64,11269,11927,20517,46600,37000,,,
Samsung R20 russisch,Core Duo T2450,2000,12.138,12.568,21.144,49.6,38.1,33.800s,2009-04-16,IA-32,12138,12568,21144,49600,38100,,,
Medion Akoya P2212T,Intel N2920,1860,18.433,15.15,16.636,66,30,42.056s,2014-05-29,x86-64,18433,15150,16636,66000,30000,,,
Jetson Nano A02 4GB,Tegra X1,1400,14.399,15.947,17.788,61.2,32.1,,2025-04-25,ARMv8-A,14399,15947,17788,61171,32072,,,
Silentium II,64bit Athlon64,1800,13.595,16.121,19.566,59.9,35.3,49.400s,2011-05-09,x86-64,13595,16121,19566,59900,35300,,,
Medion Akoya E1232T,Intel N2807,1580,19.981,16.207,18.001,71,32.5,43.033s,2014-07-31,x86-64,19981,16207,18001,71000,32500,,,
MacBook Air 2013,Intel i5-4250U,1299,19.051,17.286,25.289,72.2,45.6,-,2014-08-10,x86-64,19051,17286,25289,72200,45600,,,
Medion PC 2013,Intel Core i3,2527,28.488,17.781,36.673,87.2,66.1,17.437s,2013-07-02,x86-64,28488,17781,36673,87200,66100,,,
Synology DS216+II,Intel N3060,1600,23.695,17.817,25.516,80.7,46,50.264s,2020-09-15,x86-64,23695,17817,25516,80700,46000,,,
Acer C720,Celeron 2955U,1400,18.776,17.878,29.106,73.2,52.5,-,2019-06-25,x86-64,18776,17878,29106,73200,52500,,,
Raspberry Pi 4,BCM2711,1500,15.319,18.061,34.62,67.4,62.4,-,2024-09-26,ARMv8-A,15319,18061,34620,67400,62400,"6.12.75, gcc 14.2.0",,
Medion 2010,AthlonII X4,2607,18.265,18.958,31.843,74.8,57.4,30.700s,2012-08-30,x86-64,18265,18958,31843,74800,57400,,,
Mark old PC 2,Sempron SI-42,2100,14.395,19.299,23.132,68.2,41.7,1m0.573s,2009-09-04,x86-64,14395,19299,23132,68200,41700,,,
Thinkpad X200,Intel Core2 Duo P8400,2266,28.631,19.781,31.141,92.9,56.1,22.112s,2016-12-09,x86-64,28631,19781,31141,92900,56100,,,
Galaxy Note 8,Exynos 8895,2400,23.448,32.408,50.742,113.1,91.5,-,2026-04-04,ARMv8-A,23448,32408,50742,113052,91486,"termux, 4.4.111, clang",,
Thinkpad T61,Intel Core2 Duo T7300,2043,19.359,19.808,33.182,78.6,59.8,25.700s,2014-10-07,x86-64,19359,19808,33182,78600,59800,,,
